,도로명,위도,경도
198,영통구 매탄로79번길6-2,37.2582849,127.0421015
199,영통구 삼성로168번길100,37.2614031,127.0599535
200,"영통구 동탄원천로881번길35, 상가동104호",37.2546405,127.0409337
201,"영통구 효원로383, 109호",37.2592717,127.0436222
202,영통구 신원로198번길 47-2 (매탄동),37.2545624,127.0618309
203,"영통구 매탄로140번길 54-2, 1층 상가 101호 (매탄동)",37.2624876,127.0467040
204,영통구 인계로264번길 16-5 (매탄동),37.2631045,127.0456144
205,영통구 신원로 188 (매탄동),37.2524094,127.0599075
206,"영통구 매탄로108번길 24, 삼성플라자1-103호 (매탄동, 삼성프라자Ⅰ)",37.2599062,127.0446143
207,"영통구 신원로198번길 72 (매탄동, 미가원)",37.2556152,127.0621127
208,영통구 동수원로286번길 13-2 (매탄동),37.2549637,127.0371114
209,영통구 인계로292번길 26 (매탄동),37.2620832,127.0486967
210,영통구 삼성로168번길 15 (매탄동),37.2580615,127.0575016
211,"영통구 효원로 397,  중앙프라자104호 (매탄동, 중앙프라자)",37.2590560,127.0451590
212,"영통구 동수원로 316, 임광아파트상가 (매탄동, 임광아파트)",37.2577212,127.0385506
213,영통구 매탄로 55-1 (매탄동),37.2562360,127.0407244
214,"영통구 매탄로100번길 17, 우영프라자 103호 (매탄동, 우영프라자Ⅱ)",37.2596011,127.0442221
215,"영통구 효원로 363, 위브하늘채 상가지하1 (매탄동, 매탄 위브 하늘채)",37.2622858,127.0414010
216,영통구 신원로 295 (매탄동),37.2618601,127.0602976
217,"영통구 매탄로126번길 22, 101호 (매탄동, 주공그린빌)",37.2612311,127.0449032
218,"영통구 매탄로 142 (매탄동, 양성프라자)",37.2632713,127.0442440
219,영통구 권선로803번길 36 (매탄동),37.2570155,127.0399034
220,"영통구 동탄원천로881번길 19, 주공그린빌6단지 (매탄동, 주공그린빌)",37.2533011,127.0412784
221,영통구 인계로220번길 6-85 (매탄동),37.2639585,127.0408923
222,"영통구 효원로400, 109호",37.2580632,127.0453787
223,영통구 신원로211번길 19 (매탄동),37.2551954,127.0591522
224,영통구 신원로 228 (매탄동),37.2561634,127.0603212
225,"영통구 신원로 259-2, 1층 (매탄동)",37.2587198,127.0603097
226,영통구 매탄로140번길 68-32 (매탄동),37.2616891,127.0472956
227,"영통구 삼성로168번길 64, 101호 (매탄동)",37.2598825,127.0591894
228,"영통구 인계로 240, 1-16호 (매탄동, 삼호그랜드빌라)",37.2644596,127.0435730
229,영통구 신원로250번길 2 (매탄동),37.2574675,127.0600514
230,영통구 매탄로 37 (매탄동),37.2549030,127.0397190
231,"영통구 효원로 400, 레몬스포렉스105호 (매탄동, 레몬스포렉스)",37.2580632,127.0453787
232,"영통구 매탄로126번길 66, 주공그린빌2단지상가 (매탄동, 주공그린빌)",37.2603706,127.0468729
233,"영통구 권선로794번길 8-1, 1층 (매탄동)",37.2557011,127.0376019
234,영통구 효원로 364 (매탄동),37.2591218,127.0411585
235,영통구 삼성로 210 (매탄동),37.2611504,127.0598107
236,"영통구 동수원로 294-1, 1층 (매탄동)",37.2556819,127.0366147
237,영통구 매탄로 43 (매탄동),37.2552490,127.0401361
238,"영통구 인계로 254, 효원빌라제상가동 1층  (매탄동, 효원빌라)",37.2636866,127.0446174
239,영통구 영통로 301 (매탄동),37.2531694,127.0611449
240,"영통구 인계로 264 (매탄동, 매탄삼성내과의원)",37.2637050,127.0463546
241,"영통구 동탄원천로915번길 36, 주공그린빌 3단지 (매탄동, 주공그린빌)",37.2568042,127.0444693
242,"영통구 영통로323번길 45 (매탄동, 매탄동빌딩)",37.2546167,127.0604435
243,"영통구 효원로 381 (매탄동, 새롬프라자16차)",37.2593356,127.0433161
244,"영통구 효원로 363, 매탄위브상가 (매탄동, 매탄 위브 하늘채)",37.2622858,127.0414010
245,영통구 매원로12 1층,37.2664806,127.0474213
246,영통구 산남로34번길 32-4 (매탄동),37.2648510,127.0492100
247,영통구 매탄로168번길 32 (매탄동),37.2647618,127.0471868
248,영통구 삼성로 245 (매탄동),37.2643300,127.0610812
249,영통구 산남로 55 (매탄동),37.2680589,127.0488155
250,영통구 매영로46번길 12 (매탄동),37.2685838,127.0471888
251,영통구 산남로 34 (매탄동),37.2659650,127.0492277
252,영통구 인계로 293-1 (매탄동),37.2632388,127.0496239
253,영통구 매탄로168번길 2 (매탄동),37.2652274,127.0455632
254,영통구 매탄로178번길 30 (매탄동),37.2653109,127.0466545
255,"영통구 동탄원천로 1035, 상가동105호 (매탄동, 매탄3차삼성아파트)",37.2661929,127.0503200
256,영통구 인계로 283-2 (매탄동),37.2635218,127.0485489
257,영통구 매원로 18 (매탄동),37.2662986,127.0480146
258,"영통구 매영로 10, 삼성아파트 상가 (매탄동, 삼성2차아파트)",37.2694013,127.0435125
259,"영통구 인계로 219, 삼성종합상가지층 (매탄동, 삼성1차아파트)",37.2658520,127.0418925
260,영통구 매원로11번길 32 (매탄동),37.2679456,127.0480706
261,영통구 산남로22 (매탄동),37.2651727,127.0484595
262,"영통구 동수원로 432, 동남상가5동 105호 (매탄동, 동남아파트)",37.2669616,127.0427808
263,"영통구 매영로 134, 상가동 101호 (매탄동, 수원 원천1단지 주공아파트)",37.2664309,127.0571058
264,"영통구 매영로 84, (지하) (매탄동, 한국아파트)",37.2674117,127.0515297
265,"영통구 청명로 130, 상가동102/103 (영통동, 벽산삼익아파트)",37.2568633,127.0744605
266,영통구 봉영로 1612 (영통동),37.2544858,127.0750136
267,"영통구 청명북로33, 상가동1층",37.2550161,127.0789786
268,"영통구 중부대로 604, 계룡리슈빌 132호 (영통동, 수원영통리슈빌스카이오피스텔)",37.2673389,127.0811241
269,"영통구 봉영로1744번길 16, 쌍용상가 101 (영통동, 쌍용아파트)",37.2638970,127.0832056
270,"영통구 영통로 498 (영통동, 황골마을주공1단지아파트)",37.2624049,127.0795000
271,"영통구 청명남로 30 (영통동, 거성빌딩)",37.2522032,127.0754309
272,"영통구 청명북로 67 (영통동, 청명마을주공아파트)",37.2573362,127.0797388
273,"영통구 청명북로 96-1, 1층 (영통동)",37.2598833,127.0800061
274,영통구 청명남로 50 (영통동),37.2538100,127.0769014
275,"영통구 봉영로1744번길 11 (영통동, 벽산.풍림아파트)",37.2664532,127.0836767
276,영통구 영통로525번길 19 (영통동),37.2656135,127.0763008
277,영통구 봉영로 1761 (영통동),37.2662945,127.0816543
278,"영통구 영통로 513, 1층 (영통동)",37.2645708,127.0774698
279,영통구 청명로 73-1 (영통동),37.2535609,127.0790686
280,"영통구 청명북로 83,  청명주공A 가동 (영통동, 청명마을주공아파트)",37.2585846,127.0800124
281,"영통구 영통로514번길 52, 상가 나 104호 (영통동, 황골마을주공1단지아파트)",37.2644256,127.0808103
282,"영통구 봉영로 1526, 살구골7단지 지하1층 (영통동, 살구골 진덕,서광,성지,동아 아파트)",37.2486861,127.0700908
283,"영통구 영통로 460, 분산상가동 1층 103호 (영통동, 대우.동신아파트)",37.2597003,127.0776126
284,"영통구 봉영로1770번길 21, 상가동 지하(영통동,신명,한국아파트) (영통동, 신명.한국아파트)",37.2679833,127.0837750
285,영통구 청명로 85 (영통동),37.2542354,127.0779754
286,"영통구 매영로310번길 46 (영통동, 소망문화센터)",37.2524996,127.0654073
287,"영통구 청명로 96 (영통동, 건영1차아파트)",37.2550975,127.0776018
288,"영통구 영통로 460 (영통동, 대우.동신아파트)",37.2597003,127.0776126
289,"영통구 영통로 498, 가동 103호 (영통동, 황골마을주공1단지아파트)",37.2624049,127.0795000
290,"영통구 영통동947-10, 102호",37.2659229,127.0811858
291,영통구 봉영로1759번길 1 (영통동),37.2659305,127.0816685
292,"영통구 봉영로 1606,  미네시티프라자1층 (영통동, 미네시티)",37.2538737,127.0744859
293,"영통구 봉영로1770번길 21 (영통동, 신명.한국아파트)",37.2679833,127.0837750
294,영통구 영통로501번길1-4,37.2634380,127.0774435
295,"영통구 봉영로 1576 (영통동, 영통홈플러스)",37.2518146,127.0725998
296,영통구  영통로 514,37.2644732,127.0779807
297,"영통구 영통로514번길 53,  주공상가 (영통동, 황골마을주공2단지아파트)",37.2655522,127.0801326
298,"영통구 덕영대로1499번길 55, 2층 (망포동, 태방전자)",37.2473779,127.0544940
299,"영통구 봉영로1517번길 23, 벽적골9단지상가 101호 (영통동, 벽적골9단지 주공아파트)",37.2486200,127.0666017
300,영통구 권선로 908번길25,37.2474510,127.0451920
301,영통구 신원로 33 (신동),37.2496084,127.0459207
302,영통구 권선로882번길 26-5 (신동),37.2492125,127.0423578
303,영통구 신원로 127-1 (신동),37.2489407,127.0553272
304,"영통구 덕영대로1556번길 16, 엠파이어 a동 226호 (영통동, 디지털엠파이어빌딩)",37.2452904,127.0591706
305,"영통구 영통로214번길 55 (영통동, 세일빌딩)",37.2467020,127.0603162
306,"영통구 영통로290번길26, 나상가동104호",37.2511412,127.0615472
307,"영통구 영통로 237, B2층 202호",37.2486678,127.0570044
308,"영통구 덕영대로1400, 상가 A동 3호, 4호",37.2433563,127.0423271
309,영통구 덕영대로1483번길 16-4 (망포동),37.2464827,127.0528400
310,"영통구 신원로 173-1 (신동, 고시원)",37.2517490,127.0588175
311,영통구 신원로 66 (신동),37.2481252,127.0486597
312,영통구 영통로241번길 12-6 (신동),37.2492257,127.0572264
313,영통구 신원로136번길 12 (신동),37.2487559,127.0556583
314,영통구 봉영로1492번길 50 (영통동),37.2452202,127.0681788
315,영통구 영통로213번길 24 (영통동),37.2465111,127.0555959
316,"영통구 매영로345번길 7 (영통동, 영통트리플렉스)",37.2527660,127.0708960
317,"영통구 봉영로1517번길 27 (영통동, 벽적골9단지 주공아파트)",37.2474596,127.0658500
318,"영통구 봉영로 1605 (영통동, 모던타운)",37.2545285,127.0734663
319,"영통구 덕영대로1555번길 13 (영통동, 세일빌딩)",37.2467721,127.0608039
320,경기 용인시 기흥구 예현로 23 (서천동),37.2447425,127.0685464
321,영통구 봉영로 1587,37.2533329,127.0723331
322,"영통구 매영로345번길 7, 영통프리플렉스 108호 (영통동, 영통트리플렉스)",37.2527660,127.0708960
323,"영통구 영통로290번길 28 (영통동, 벽적골주공 휴먼시아8단지)",37.2512793,127.0621861
324,영통구 영통로200번길 63 (영통동),37.2445504,127.0601305
325,"영통구 신원로 88 (신동, 디지털엠파이어2)",37.2474698,127.0503626
326,"영통구 덕영대로1556번길 16, 디지털엠파이어D동 251호 (영통동, 디지털엠파이어빌딩)",37.2452904,127.0591706
327,"영통구 봉영로 1579,  지하1층 (영통동, 롯데마트 영통점)",37.2527349,127.0716575
328,"영통구 신원로 105 (신동, 신동우편취급소)",37.2479870,127.0528878
329,"영통구 신원로 88, 101동 107호 (신동, 디지털엠파이어2)",37.2474698,127.0503626
330,"영통구 영통로214번길 41 (영통동, 토야 플라자)",37.2467017,127.0594637
331,영통구 영통로 215 (영통동),37.2466245,127.0568135
332,영통구 신원로136번길 30 (신동),37.2480622,127.0549370
333,"덕영대로1556번길16, E동129호",37.2452904,127.0591706
334,영통구 봉영로1482번길 17-4 (영통동),37.2452701,127.0668376
335,"영통구 영통로290번길 25 주공상가나동101호 (영통동, 신나무실주공아파트)",37.2521858,127.0634073
336,영통구 봉영로 1517번길 73,37.2492434,127.0638949
337,영통구 청명로77번길 7 (영통동),37.2534796,127.0787618
338,"영통구 영통로200번길 21, 102호 (영통동, 현대프라자)",37.2446519,127.0579139
339,"영통구 매영로310번길 12 (영통동, 신성.신안.쌍용.진흥아파트)",37.2543887,127.0658336
